,human-readable,lasso-AIC-coefs,lasso-BIC-coefs,lasso-CV-coefs
G6,6,-2.097104777630828,-2.107207305470747,-2.103136392013818
G23RxG4,17,-1.6376962835162898,-1.6285393414806246,-1.6348377672132275
CExG8,47,-0.772754086990556,-0.7415039863653178,-0.7587097206239276
G7xG8,35,-0.7571626653727954,-0.7755501286791097,-0.762544626299182
CE,38,-0.5236765867370459,-0.6499117574227636,-0.5722817586115925
COxG23RxG5,129,-0.4618574547699789,-0.4103103554284705,-0.44508709903849314
COxG4xG5,134,-0.35945336644393927,-0.29930276926231475,-0.33988815832047553
COxG7xG8,146,-0.3580253717400721,-0.31352735050022007,-0.3441843794842864
CExG4,43,-0.3554060657905014,-0.3369551153246825,-0.34945714062011624
CLxG7xG8,118,-0.3022878269731397,-0.2612386777617227,-0.28927793240450633
CLxG23RxG4,100,-0.280161837382762,-0.2723750095188676,-0.2781940444937815
COxG9,64,-0.24878820329827173,-0.2277720210236872,-0.23262416718667814
CExG1xG7,69,-0.24353770327321347,-0.2219386653195702,-0.23657156059134704
CExG5,44,-0.21414615713612137,-0.16906421915612277,-0.19981598245176718
CExG9,48,-0.19919212362706357,-0.12168842073051944,-0.16231770131892412
COxG1,57,-0.18381138600464333,-0.08593197680771826,-0.15194866165383
CLxG8xG9,120,-0.18270772666140864,-0.15028675384561696,-0.16944659219912223
CLxG23RxG5,101,-0.17974295890275935,-0.14189785138129243,-0.1679768342591004
COxG23RxG8,132,-0.17205656222818622,-0.12978142984097904,-0.15388655177864805
CExG7,46,-0.16712569317144535,-0.11764418708653016,-0.15034625509773689
CLxG4xG5,106,-0.13740173568966632,-0.11502609102613787,-0.13045144065357545
CLxG6,53,-0.12369215687579312,-0.0068671656068766546,-0.08237822723982874
CExG4xG9,82,-0.11269847515980491,-0.11361485184690039,-0.11322714077522684
COxG4xG8,137,-0.1089998827833003,-0.06559970664102131,-0.09498793820416954
G8xG9,37,-0.09277452463085371,-0.09910528612053214,-0.09886804815331919
CExG6,45,-0.09015980344860819,0.0,-0.05718628758519888
G4xG5,23,-0.08905359334962269,-0.1214985623324959,-0.0996229019810223
CLxG1,49,-0.07213066480683214,-0.0113271198264993,-0.053205085082238826
CExG1xG6,68,-0.06853712514568283,-0.020183184118000692,-0.05313561773330813
CLxG4xG9,110,-0.06495087296426293,-0.05293172656087535,-0.05985130439626062
COxG7xG9,147,-0.06273869727745149,-0.045918428125224106,-0.05726539969260354
G9,9,-0.0614251662920563,-0.08136871718787199,-0.0811506370040749
CLxG4xG8,109,-0.056869244395203314,-0.04340118478070361,-0.05161567896502588
COxG1xG6,124,-0.05672741259536904,-0.014086310164707043,-0.042572219714078006
COxG4xG7,136,-0.054270968181710746,-0.0037731108921133134,-0.03809156020327769
CLxG1xG7,97,-0.052430319951567814,-0.04223229635555757,-0.04888831460234139
G4xG7,25,-0.04774664017452308,-0.0574330424274158,-0.050441853783616264
COxG23RxG7,131,-0.03528377446609454,0.0,-0.02055910843812026
CExG1xG8,70,-0.03362711814600074,-0.006620917702317312,-0.024657526443635933
CLxG4,51,-0.02814903448800489,0.0,-0.01771484381458051
G1xG8,15,-0.028018528653101685,-0.04020869819982424,-0.032033632515644804
CExG4xG7,80,-0.027106345742981805,-0.03116777950937283,-0.028869073493358675
G23RxG5,18,-0.024493205974510567,-0.04189731389955425,-0.030176855647600823
CLxG1xG8,98,-0.02176611409739334,-0.004614031065893478,-0.016308463910211086
CExG23RxG4,72,-0.02012078093175344,-0.00670650008940121,-0.016070968062330573
CLxG23RxG8,104,-0.019165220599367025,0.0,-0.0
COxG1xG9,127,-0.01848774061587079,-0.023940557732083523,-0.020308000780582584
G1xG6,13,-0.01703368739131681,-0.06846940989043743,-0.033805936242823104
