genotype,s_r vs. LibA_pre
[000000000],0.0
[000000001],-0.9629559217578224
[000000010],-1.057837859815904
[000000011],-2.4630052255190966
[000000100],0.17069188604076968
[000000101],-2.081153224730153
[000000110],-0.26637067700728845
[000000111],-1.6345545494761047
[000001000],-4.265296637744122
[000001001],-6.393446860509873
[000001010],-0.30344836487359583
[000001011],0.2982630710298825
[000001100],-1.2597486316613873
[000001101],-1.9399887821073407
[000001110],-1.6996648094866056
[000001111],-2.8345105478097308
[000010000],-0.3432585559347582
[000010001],-0.9809354777054674
[000010010],0.11211410909609965
[000010011],-1.1597217927751038
[000010100],0.014671216534196563
[000010101],-1.3209511141440131
[000010110],-0.9761487078668037
[000010111],-2.2189882753272636
[000011000],-3.974178332881555
[000011001],-5.734359781261142
[000011010],-0.7307340025611003
[000011011],-0.6343280679942909
[000011100],-0.46938433996789153
[000011101],-1.6148509655115548
[000011110],-0.7145705611965415
[000011111],-1.8383693671040393
[000100000],-0.4318438767476261
[000100001],-0.6616546795834097
[000100010],-0.5023194811344429
[000100011],-1.4009122344553007
[000100100],-0.10655559716446872
[000100101],-0.4730576443405386
[000100110],-1.886107465684491
[000100111],-3.747777094644743
[000101000],-4.185456792013444
[000101001],-7.0916868996459845
[000101010],-0.9244081621375247
[000101011],-0.16531653459721019
[000101100],-0.10023552549418502
[000101101],-2.0949880325791463
[000101110],-0.5834032869064869
[000101111],-1.3503686739787721
[000110000],-0.6722276955279934
[000110001],-0.7749742715788714
[000110010],-0.12471916465497546
[000110011],-1.2727660763884132
[000110100],-0.28161489394644434
[000110101],-0.6216064837335719
[000110110],-1.8424091230654307
[000110111],-4.330003494145572
[000111000],-4.488245204500521
[000111001],-7.031998714652083
[000111010],-0.8291450940526056
[000111011],0.028185299030841438
[000111100],-0.16058918050691406
[000111101],-2.4709563207018923
[000111110],-0.823896690967874
[000111111],-1.853435073075291
[001000000],0.6949411582847865
[001000001],0.4700688478279017
[001000010],0.9312018438003681
[001000011],-1.2853816697203369
[001000100],1.0010426532260168
[001000101],0.17853240648989
[001000110],-0.5119555793250816
[001000111],-2.9603990486538336
[001001000],-4.089336405988999
[001001001],-5.581655376644541
[001001010],1.0656840231541769
[001001011],1.7434256761903106
[001001100],0.48470395236108266
[001001101],-0.3768136800133899
[001001110],-0.044952179033646344
[001001111],-0.5768741661487718
[001010000],0.22453449059295483
[001010001],-0.16388782518381217
[001010010],-0.028775155617292048
[001010011],-2.4662629302446843
[001010100],0.026407043219072168
[001010101],-0.6916639917818861
[001010110],-1.2739757063593873
[001010111],-3.4190454589504813
[001011000],-5.495276420488935
[001011001],-6.58345747697165
[001011010],-0.18919207335572474
[001011011],0.24514029604062315
[001011100],0.4077257715288988
[001011101],0.16167035752535985
[001011110],-1.2261286312834123
[001011111],-2.0773132908211487
[001100000],-1.101467264285533
[001100001],-2.600963038823857
[001100010],-2.718120487590048
[001100011],-5.66689324222437
[001100100],-2.9306475952849964
[001100101],-3.3595186694733
[001100110],-4.013457074354095
[001100111],-7.04089577549861
[001101000],nan
[001101001],nan
[001101010],-3.0412858336107704
[001101011],-2.692991416001744
[001101100],-3.0240819429486576
[001101101],-4.160958377140665
[001101110],-4.437817216624596
[001101111],-5.2831097628209855
[001110000],-3.562879781860012
[001110001],-6.128715271413206
[001110010],nan
[001110011],-7.731089875311373
[001110100],-6.3209128962068615
[001110101],-7.260116760534015
[001110110],-6.156923692954749
[001110111],nan
[001111000],nan
[001111001],nan
[001111010],nan
[001111011],-5.6365260424061905
[001111100],-6.106112565269013
[001111101],nan
[001111110],nan
[001111111],nan
[010000000],0.495541290852873
[010000001],0.40392462264698914
[010000010],0.23696696956072316
[010000011],-2.1372540735376258
[010000100],0.22608748576901794
[010000101],-0.705885115463528
[010000110],-1.008675069989538
[010000111],-3.3064231695912083
[010001000],-4.931848475305555
[010001001],-6.099612798172871
[010001010],0.18758587094709556
[010001011],0.6099675431406789
[010001100],-0.03363959206630607
[010001101],-0.5791115344282519
[010001110],-0.7480813050736415
[010001111],-0.7464425512306367
[010010000],0.27139755899452755
[010010001],-0.07470238198882229
[010010010],0.2879950598821325
[010010011],-2.148339055082792
[010010100],0.2988250924639181
[010010101],-0.42339659266796836
[010010110],-1.2471722626764847
[010010111],-3.3660531102657676
[010011000],-4.89879338193015
[010011001],-5.832433383082591
[010011010],0.08142915081890523
[010011011],0.5302809931551745
[010011100],0.6058749238440572
[010011101],0.1055906458780066
[010011110],-1.1490739968377093
[010011111],-2.059394569581096
[010100000],-1.2993339573960954
[010100001],-2.9587613338623977
[010100010],-2.8604415643380308
[010100011],-5.617104079625893
[010100100],-2.9924953846137683
[010100101],-3.6027680050285857
[010100110],-3.6861374136025478
[010100111],-6.615416861559374
[010101000],nan
[010101001],nan
[010101010],-3.1534390606918197
[010101011],-3.0446581773481
[010101100],-3.92957881376923
[010101101],-4.16870357513419
[010101110],-4.465195854242473
[010101111],-5.829466638093526
[010110000],-4.669736178924052
[010110001],-6.414470965655801
[010110010],nan
[010110011],nan
[010110100],nan
[010110101],-7.137989491921186
[010110110],nan
[010110111],nan
[010111000],nan
[010111001],nan
[010111010],-5.434922461202661
[010111011],nan
[010111100],nan
[010111101],-7.037806838104175
[010111110],nan
[010111111],nan
[011000000],0.2970455362138694
[011000001],0.28179853070344707
[011000010],-0.14444181040618598
[011000011],-2.435535281259014
[011000100],-0.031496914740147486
[011000101],-0.9273312971289864
[011000110],-1.088529624192895
[011000111],-3.372352672589243
[011001000],-2.783794959585694
[011001001],-6.002200031164165
[011001010],-0.07016815511209251
[011001011],0.2809290111388699
[011001100],-0.2599125405525996
[011001101],-0.6406992670223859
[011001110],-0.9133971008842383
[011001111],-0.9150153362344137
[011010000],0.30034442448630616
[011010001],-0.042992219148274
[011010010],-0.09108920326517744
[011010011],-2.511810687743681
[011010100],-0.38970942403634434
[011010101],-0.8703264445898047
[011010110],-1.25739680068904
[011010111],-3.1868837213419052
[011011000],-4.4933282738219855
[011011001],-6.071407221492354
[011011010],-0.1494860597349783
[011011011],0.22404540637229042
[011011100],-0.0026452941884334003
[011011101],-0.059557721830007404
[011011110],-1.4649830425028565
[011011111],-2.059053653105619
[011100000],-1.29361747585785
[011100001],-3.0145812261733265
[011100010],-3.240227638600465
[011100011],-7.602092610200749
[011100100],-2.7676983634977295
[011100101],-3.626687856125142
[011100110],-4.0537568567787625
[011100111],-6.184123061103289
[011101000],nan
[011101001],nan
[011101010],-3.3886796708839193
[011101011],-3.2342662550295924
[011101100],-3.4251030952807184
[011101101],-4.435481390134428
[011101110],-4.907533375137105
[011101111],-6.601694083397759
[011110000],-4.407510225130215
[011110001],-6.992374471545569
[011110010],-5.793804586250106
[011110011],nan
[011110100],-4.44387786930109
[011110101],-7.824069505258039
[011110110],nan
[011110111],nan
[011111000],nan
[011111001],nan
[011111010],nan
[011111011],-7.151914200681596
[011111100],nan
[011111101],nan
[011111110],nan
[011111111],nan
[100000000],0.12196364208052246
[100000001],-0.3341799599101941
[100000010],0.031189263455337235
[100000011],-1.7477462809568416
[100000100],-0.25356034666653804
[100000101],-0.6893023992232267
[100000110],-0.631519808612242
[100000111],-3.3913294775683105
[100001000],-4.338164935680341
[100001001],-6.820356154159746
[100001010],-0.4467808895967567
[100001011],0.4170061180583421
[100001100],-1.7163279883406215
[100001101],-1.1551589057604823
[100001110],-1.182694359896833
[100001111],-2.315326358095377
[100010000],-0.02199179832953846
[100010001],-0.5671636795208803
[100010010],-0.12896210333086633
[100010011],-1.7325196135259615
[100010100],-0.6381958010654626
[100010101],-1.240084258587197
[100010110],-1.1652380470938848
[100010111],-3.955778495377273
