genotype,s_r vs. LibB_pre
[000000000],0.0
[000000001],-1.7164055951046864
[000000010],-5.220624003098544
[000000011],-5.379951038731115
[000000100],-3.272498874230707
[000000101],-3.7603069234783466
[000000110],-3.5301025299576017
[000000111],-4.275622565969529
[000001000],-5.446295815420614
[000001001],-5.615037175699051
[000001010],-3.930559320897342
[000001011],-2.0674442805138202
[000001100],-4.158679927996329
[000001101],-2.1024405079700554
[000001110],-5.037682526019414
[000001111],-2.8161721902736248
[000010000],-2.7490031030083846
[000010001],-3.4739756049446493
[000010010],-3.6709049112136487
[000010011],-4.830182096831014
[000010100],-3.724432548131098
[000010101],-4.201166609353616
[000010110],-4.400664272949655
[000010111],-5.550811151257737
[000011000],-5.828105063377004
[000011001],nan
[000011010],-5.646678840005631
[000011011],-5.369700779479722
[000011100],-3.657485113793099
[000011101],-3.5331941232968487
[000011110],-4.214619438509573
[000011111],-5.047866364309533
[000100000],-3.2454138934171057
[000100001],-3.5440354476035836
[000100010],-4.30022178397598
[000100011],-5.670795391923329
[000100100],-3.691707758987342
[000100101],-3.8545880506848778
[000100110],-6.248892042384048
[000100111],nan
[000101000],-6.941912810998681
[000101001],nan
[000101010],-4.712682097004808
[000101011],-5.0629013900511435
[000101100],-3.7241914349915044
[000101101],-4.410119029720887
[000101110],-4.151424101754135
[000101111],-4.941100853341215
[000110000],-3.1426001279936897
[000110001],-3.3346048496683207
[000110010],-3.6500865975497443
[000110011],-4.6832016171723145
[000110100],-3.945055860618412
[000110101],-4.377135603508891
[000110110],-5.831247930177422
[000110111],-6.83822109836733
[000111000],nan
[000111001],-6.615321231564114
[000111010],-5.088693326716325
[000111011],-4.577878394990254
[000111100],-3.81119876020403
[000111101],-4.819642582632624
[000111110],-4.576952756789446
[000111111],-4.366347008605106
[001000000],1.742848206721896
[001000001],2.4012768148489365
[001000010],-2.720995883085847
[001000011],-2.3522653858320854
[001000100],-0.6948979907473579
[001000101],0.7074256021246581
[001000110],-0.695126384927734
[001000111],-2.1712498745460507
[001001000],-2.1093024214362077
[001001001],-4.11555858296373
[001001010],-1.1228406040932875
[001001011],0.6964662641324775
[001001100],0.7531020393391511
[001001101],1.5602951606445963
[001001110],0.45181261246565174
[001001111],1.4320329729392522
[001010000],1.5723751150239313
[001010001],1.8281892404768563
[001010010],-2.915085983904349
[001010011],-2.394113928189048
[001010100],-0.4776883540230438
[001010101],0.8782896148842135
[001010110],-1.3601986808937732
[001010111],-2.9653949442844447
[001011000],-2.869414006942576
[001011001],-4.626379054600216
[001011010],-1.0567205699187758
[001011011],0.7516379432051619
[001011100],1.3470199913341303
[001011101],2.2611771500632085
[001011110],-1.7067717768345074
[001011111],0.06699513981283171
[001100000],-2.695494750715832
[001100001],-3.5169621377540197
[001100010],nan
[001100011],nan
[001100100],-4.991332107409036
[001100101],-3.99082203542889
[001100110],-5.024573885430405
[001100111],nan
[001101000],nan
[001101001],nan
[001101010],nan
[001101011],-4.607478675570016
[001101100],-5.210411355510144
[001101101],-3.77625582952974
[001101110],nan
[001101111],-4.411616311225685
[001110000],-5.378438273806696
[001110001],nan
[001110010],nan
[001110011],nan
[001110100],nan
[001110101],nan
[001110110],nan
[001110111],nan
[001111000],nan
[001111001],nan
[001111010],nan
[001111011],nan
[001111100],nan
[001111101],nan
[001111110],nan
[001111111],nan
[010000000],1.801452734070344
[010000001],2.396449730453903
[010000010],-2.71966497862576
[010000011],-1.9707182064402506
[010000100],-0.7402196961168683
[010000101],0.8414420303162828
[010000110],-0.5661657305324986
[010000111],-2.0515473854362463
[010001000],-1.240250152926595
[010001001],-3.3764184122703385
[010001010],-0.8370134690747539
[010001011],0.9188380245772748
[010001100],0.8539199372643919
[010001101],1.6143025084754425
[010001110],-0.07882182209748578
[010001111],1.3638001283728798
[010010000],1.4938216386204124
[010010001],1.7557107841920654
[010010010],-3.145146074634537
[010010011],-2.6276555611876966
[010010100],-0.691256730658666
[010010101],-0.025057096411781554
[010010110],-1.5275094566548955
[010010111],-3.0831717558759486
[010011000],-3.1619088536565925
[010011001],-4.258410376642835
[010011010],-1.0467579354016807
[010011011],0.514816754993025
[010011100],1.4877906677594674
[010011101],2.2283522081526597
[010011110],-1.7417778224239941
[010011111],0.18659394534957552
[010100000],-2.881131146765264
[010100001],-3.4493560856398378
[010100010],nan
[010100011],nan
[010100100],-5.153258554283712
[010100101],-4.658072365846117
[010100110],-4.899755957736644
[010100111],nan
[010101000],nan
[010101001],nan
[010101010],nan
[010101011],-5.654394133094233
[010101100],nan
[010101101],-4.262718486997565
[010101110],nan
[010101111],-6.154869133586509
[010110000],nan
[010110001],nan
[010110010],nan
[010110011],nan
[010110100],nan
[010110101],-6.108997585013578
[010110110],nan
[010110111],nan
[010111000],nan
[010111001],nan
[010111010],nan
[010111011],nan
[010111100],nan
[010111101],nan
[010111110],nan
[010111111],nan
[011000000],2.0741093194442426
[011000001],2.4637233554883187
[011000010],-2.9833796712059084
[011000011],-2.037868929952727
[011000100],-0.6964235752039293
[011000101],0.6848544535912101
[011000110],-0.5882077329116957
[011000111],-2.159712741171816
[011001000],-0.5437058628019734
[011001001],-3.020392706977721
[011001010],-0.7707562865173363
[011001011],0.925719505892614
[011001100],0.8389971718974504
[011001101],1.6334621643265246
[011001110],0.10579809825171273
[011001111],1.5094763653251773
[011010000],1.7913613551737015
[011010001],1.9073551519549419
[011010010],-2.863189955934993
[011010011],-2.3927668060689427
[011010100],-0.6488854176583773
[011010101],1.026758607969565
[011010110],-1.4497830096310242
[011010111],-3.2795731553692393
[011011000],-2.8681796684541236
[011011001],-3.752865001969146
[011011010],-0.9180679779061703
[011011011],0.9775701215285414
[011011100],1.731254751381469
[011011101],2.253801597662202
[011011110],-1.3592669265781807
[011011111],0.1854276358837505
[011100000],-2.812542081202463
[011100001],-3.3006766145457234
[011100010],nan
[011100011],nan
[011100100],-5.078392210917494
[011100101],-5.618390109209515
[011100110],-5.344818076007716
[011100111],nan
[011101000],nan
[011101001],nan
[011101010],-6.251416931280846
[011101011],-4.846187116429946
[011101100],nan
[011101101],-5.083188977196509
[011101110],nan
[011101111],nan
[011110000],-6.319825292278677
[011110001],-5.945288926699702
[011110010],nan
[011110011],nan
[011110100],nan
[011110101],nan
[011110110],nan
[011110111],nan
[011111000],nan
[011111001],nan
[011111010],nan
[011111011],nan
[011111100],nan
[011111101],nan
[011111110],nan
[011111111],nan
[100000000],1.69481425839848
[100000001],-0.28928110594981177
[100000010],-3.5439572885519808
[100000011],-5.12832951230811
[100000100],-3.291650325712798
[100000101],-2.5069080878271226
[100000110],-4.744250904625868
[100000111],-6.555783159678382
[100001000],-6.115099090130286
[100001001],-6.178009172402495
[100001010],-4.391392669540546
[100001011],-2.110501425470827
[100001100],-4.001899898420297
[100001101],-1.750104348021096
[100001110],-4.7666268443994735
[100001111],-2.7312109166311784
[100010000],-1.4956251593940684
[100010001],-2.8451376824908947
[100010010],-3.6941502517043707
[100010011],-5.006838083698053
[100010100],-4.087496469580676
[100010101],-3.4223668474578317
[100010110],-5.742063246664739
[100010111],nan
[100011000],nan
[100011001],nan
[100011010],-4.184161267482235
[100011011],-3.789883887825897
[100011100],-4.924651895727609
[100011101],-3.3595792172677554
[100011110],-5.63492053870962
[100011111],-4.26703763698336
[100100000],-2.685487393210184
[100100001],-3.683310312254424
[100100010],-4.159447128333217
[100100011],-5.056239914834312
[100100100],-4.9272383765209185
[100100101],-5.0124561278126025
[100100110],nan
[100100111],nan
[100101000],nan
[100101001],nan
[100101010],-4.23100247386551
[100101011],-6.215302181891244
[100101100],-5.285421467704278
[100101101],-4.7433177994790245
[100101110],-6.037087773891394
[100101111],-5.318773739260803
[100110000],-2.075748579667363
[100110001],-3.242619293631491
[100110010],-4.124007007880645
[100110011],nan
[100110100],-5.05309474802007
[100110101],-4.559714285667252
[100110110],-5.701502062150938
[100110111],nan
[100111000],nan
[100111001],nan
[100111010],-3.869897246331388
[100111011],-5.518945023846919
[100111100],-5.428700299073335
[100111101],-3.9876400628106876
[100111110],-6.3098622282839605
[100111111],-5.100116161392661
[101000000],3.287429460080518
[101000001],2.088430364226479
[101000010],-2.307063556288424
[101000011],-0.5755920239663712
[101000100],0.6850482884947648
[101000101],2.152025833622516
[101000110],-1.5781479702932149
[101000111],-3.843161069481565
[101001000],-3.196455998187628
[101001001],-3.6804404874940255
[101001010],0.4002185203697691
[101001011],1.2579819348719936
[101001100],-0.393451657561083
[101001101],1.2534058207063434
[101001110],-1.496666351921586
[101001111],0.44649369765029745
[101010000],3.179164803087475
[101010001],2.1104481756575595
[101010010],-2.3249083866794362
[101010011],-0.9246291085893441
[101010100],0.2120708891345917
[101010101],1.6474389238906515
[101010110],-1.5264325591776275
[101010111],-3.695528877974063
[101011000],-3.716835425358694
[101011001],-3.789938400971647
[101011010],1.2858664230728154
[101011011],2.0059753927448467
[101011100],-0.49111856167069196
[101011101],1.2547957525230191
[101011110],-1.8993915060296545
[101011111],-0.002454647475532014
[101100000],-1.740309006091957
[101100001],-2.6654822783513823
[101100010],nan
[101100011],nan
[101100100],-2.7766906513432974
[101100101],-2.8642131778825366
[101100110],nan
[101100111],nan
[101101000],nan
[101101001],nan
[101101010],nan
[101101011],-4.148694629785472
[101101100],-5.682911435068909
[101101101],-4.018875968460714
[101101110],-5.598171961247587
[101101111],-5.471435430690958
[101110000],nan
[101110001],nan
[101110010],nan
[101110011],nan
[101110100],-4.645527448867278
[101110101],-6.172254403594004
[101110110],nan
[101110111],nan
[101111000],nan
[101111001],nan
[101111010],nan
[101111011],nan
[101111100],nan
[101111101],nan
[101111110],nan
[101111111],nan
[110000000],3.1945376693529304
[110000001],2.072120358687959
[110000010],-1.9943948120761938
[110000011],-0.2220791427453473
[110000100],0.7470387491373001
[110000101],2.1168947487849974
[110000110],-1.8090211700867167
[110000111],-4.039055975075645
[110001000],-2.9434566260263146
[110001001],-3.388109149006077
[110001010],0.7133738229651807
[110001011],1.3598145154574421
[110001100],-0.6665553572574884
[110001101],0.9344347191478868
[110001110],-1.6880720168629997
[110001111],0.20844104564137605
[110010000],3.174872425831389
[110010001],1.9790983631874681
[110010010],-2.5871934169211683
[110010011],-0.9466527221037503
[110010100],0.17112956992636202
[110010101],1.5626687404883088
[110010110],-1.9708522588544932
[110010111],-3.9576311484590225
[110011000],-2.9228033926423866
[110011001],-3.6911879436958617
[110011010],1.5485476129349809
[110011011],2.0083256071982296
[110011100],-0.5251539544250158
[110011101],1.5244998295487118
[110011110],-1.815074024916975
[110011111],0.10802950030183624
[110100000],-2.265217831328337
[110100001],-3.059174973083962
[110100010],nan
[110100011],nan
[110100100],-2.914129087156148
[110100101],-2.772005654193245
[110100110],-5.849475991653819
[110100111],nan
[110101000],nan
[110101001],nan
[110101010],-4.742898444752338
[110101011],-4.309055212246065
[110101100],-4.921912998716163
[110101101],-4.264865602174782
[110101110],nan
[110101111],-5.651159963294673
[110110000],-4.797384545728226
[110110001],nan
[110110010],nan
[110110011],nan
[110110100],-5.060922549812381
[110110101],-4.949381602128685
[110110110],nan
[110110111],nan
[110111000],nan
[110111001],nan
[110111010],nan
[110111011],nan
[110111100],-5.516708942896004
[110111101],-5.509321315359539
[110111110],nan
[110111111],nan
[111000000],3.2927842461054797
[111000001],2.098820004624631
[111000010],-2.0255828483796043
[111000011],-0.635118526026558
[111000100],0.8791561105703937
[111000101],2.2525346935997934
[111000110],-2.0170381671152673
[111000111],-3.9750561791493575
[111001000],-2.8276433822689495
[111001001],-4.1230269542396485
[111001010],0.45479643596646546
[111001011],1.2921999020064328
[111001100],-0.5977214040004156
[111001101],1.1801169871455943
[111001110],-1.7764311152680277
[111001111],0.2905717339963913
[111010000],3.1042814344894527
[111010001],2.0385284707044464
[111010010],-2.805928100254755
[111010011],-1.1510640673653267
[111010100],0.27596459041768234
[111010101],1.6468788481399967
[111010110],-1.8138443903479986
[111010111],-4.2287658181562175
[111011000],-4.100478551032438
[111011001],-3.569571306437621
[111011010],1.1525510036093207
[111011011],1.8820439505032067
[111011100],-0.7247998221381473
[111011101],1.3335371393083983
[111011110],-1.9155055861985322
[111011111],0.012588524263206682
[111100000],-1.8821825556473648
[111100001],-3.0012285054547476
[111100010],nan
[111100011],-5.945288926699702
