genotype,s_r_merged
[000000000],0.0
[000000001],-0.9866050525331401
[000000010],-1.0349646176734189
[000000011],-2.4663112090545884
[000000100],0.1543671005294938
[000000101],-2.0962425437759817
[000000110],-0.2587420477441315
[000000111],-1.639516364981995
[000001000],-4.0629069859190405
[000001001],-6.124326580067296
[000001010],-0.3119164297763554
[000001011],0.32932227984003276
[000001100],-1.2907641491198356
[000001101],-1.9219273977717155
[000001110],-1.7533679291305713
[000001111],-2.9022808511231353
[000010000],-0.257230193109649
[000010001],-0.9869816441013715
[000010010],0.12631087764131063
[000010011],-1.157628966973424
[000010100],-0.06439845484727498
[000010101],-1.3406706832060318
[000010110],-1.0268747219626706
[000010111],-2.2868515148635993
[000011000],-4.1097730735784515
[000011001],-5.751795591111264
[000011010],-0.7300369903253198
[000011011],-0.5850584432886795
[000011100],-0.43906539514758186
[000011101],-1.556295255371338
[000011110],-0.7013622462880926
[000011111],-1.9022321689584152
[000100000],-0.46212709434155247
[000100001],-0.6902215075204725
[000100010],-0.5280989164660455
[000100011],-1.4429834689767358
[000100100],-0.1686540998644354
[000100101],-0.5177472715934365
[000100110],-1.9508464982654026
[000100111],-3.7319901666060287
[000101000],-3.9234622531398156
[000101001],-6.669951769307166
[000101010],-0.9086186103771773
[000101011],-0.15367771635678484
[000101100],-0.08571851470845497
[000101101],-2.0632234659211437
[000101110],-0.5901696883195418
[000101111],-1.3683788100701062
[000110000],-0.6107270799462229
[000110001],-0.7918778556112457
[000110010],-0.1619226444209426
[000110011],-1.3080276639616921
[000110100],-0.327751632144533
[000110101],-0.6144223745167866
[000110110],-1.9271170716300556
[000110111],-4.197089073339083
[000111000],-4.427396751992814
[000111001],-6.633457260699245
[000111010],-0.8199722047308088
[000111011],0.04135939400756158
[000111100],-0.13263286670725252
[000111101],-2.4572713486456785
[000111110],-0.9137000240337717
[000111111],-1.9245419280771
[001000000],0.7052555283788311
[001000001],0.4696007859952179
[001000010],0.9209830431534831
[001000011],-1.3047196666839518
[001000100],0.9978533112434084
[001000101],0.17943139929602905
[001000110],-0.47327942150411834
[001000111],-2.8311925594065563
[001001000],-4.249515055935384
[001001001],-5.502137902517121
[001001010],1.0669849218602596
[001001011],1.7823738244318899
[001001100],0.5310767524569321
[001001101],-0.344977303626318
[001001110],-0.11700743645419635
[001001111],-0.6272407794210472
[001010000],0.27276901240155305
[001010001],-0.1490853651961169
[001010010],0.04154257130021174
[001010011],-2.4488787439302104
[001010100],0.028847066309914886
[001010101],-0.631958037458446
[001010110],-1.208944379479586
[001010111],-3.3857197031350297
