genotype,s_r vs. LibB_pre
[000000000],0.0
[000000001],1.2329149233702772
[000000010],nan
[000000011],-2.108792438217783
[000000100],-3.222701933318187
[000000101],-1.1491082149909957
[000000110],-4.0458065793709705
[000000111],nan
[000001000],nan
[000001001],-1.434110250069117
[000001010],nan
[000001011],-0.12041935265051418
[000001100],nan
[000001101],0.8008871499846624
[000001110],-2.767179550901724
[000001111],0.9174664646148978
[000010000],-2.4011148195383223
[000010001],0.21257225997667728
[000010010],-3.7708103476065924
[000010011],-1.607785332276463
[000010100],-2.8375569008960637
[000010101],-1.2485158188599481
[000010110],-3.216213391826556
[000010111],nan
[000011000],nan
[000011001],nan
[000011010],-2.5653557747661013
[000011011],-1.5453379760451806
[000011100],-3.6400345011169355
[000011101],0.13970242846539982
[000011110],nan
[000011111],-1.420287737647862
[000100000],nan
[000100001],nan
[000100010],nan
[000100011],-2.049484254228817
[000100100],-2.905175243041092
[000100101],nan
[000100110],nan
[000100111],nan
[000101000],nan
[000101001],nan
[000101010],nan
[000101011],-2.8287345922782263
[000101100],-3.9384115392161396
[000101101],nan
[000101110],nan
[000101111],nan
[000110000],nan
[000110001],-1.6599324585112623
[000110010],nan
[000110011],nan
[000110100],nan
[000110101],nan
[000110110],nan
[000110111],nan
[000111000],nan
[000111001],nan
[000111010],nan
[000111011],nan
[000111100],-3.8467989116120647
[000111101],nan
[000111110],nan
[000111111],-1.690158636800323
[001000000],5.165456806937087
[001000001],8.351139186228044
[001000010],nan
[001000011],4.273106620371353
[001000100],3.21819345754701
[001000101],7.287732651170048
[001000110],4.047634874848098
[001000111],3.9024185473231583
[001001000],2.958358850741846
[001001001],2.151927352114905
[001001010],2.410017588559561
[001001011],7.499899004620232
[001001100],3.5669712718783035
[001001101],7.645176829749197
[001001110],3.6592820417135545
[001001111],7.414192288210122
[001010000],4.269580940705495
[001010001],7.784134372171698
[001010010],-0.9594259034844894
[001010011],4.429270024934308
[001010100],3.497072694161387
[001010101],7.5637575997158475
[001010110],3.2449754453486706
[001010111],2.7190960670206406
[001011000],2.667444416077131
[001011001],2.3944614076557538
[001011010],2.358781554252211
[001011011],7.556685973552712
[001011100],4.054606029001766
[001011101],8.265082834559534
[001011110],2.553474370218682
