genotype,s_r vs. LibB_pre
[000000000],0.0
[000000001],0.2372570692858551
[000000010],0.05359771985219619
[000000011],-0.4056373366292694
[000000100],-0.42102358238758875
[000000101],-1.1229399323913474
[000000110],-0.3432557185632623
[000000111],-0.6678536816768075
[000001000],-3.717720187245067
[000001001],-4.7093736379124955
[000001010],-2.1032444950318947
[000001011],-0.024569784827633834
[000001100],-2.3449035130771168
[000001101],0.14604869768523665
[000001110],-2.4347816949673926
[000001111],-0.7880613441695528
[000010000],-0.7273509723563119
[000010001],-0.4268116680162266
[000010010],-0.4061192767720452
[000010011],-0.9183858096608799
[000010100],-0.8086967424142673
[000010101],-0.5358740879555595
[000010110],-1.46094057817914
[000010111],-1.7579555084923966
[000011000],-3.722990205983358
[000011001],-4.920481660113863
[000011010],-2.6050414881233475
[000011011],-1.9233477784047137
[000011100],-1.0365516871389158
[000011101],-0.816246084423911
[000011110],-1.028335759202219
[000011111],-0.992310929837803
[000100000],-1.0058358946584374
[000100001],0.21402230225148844
[000100010],-0.811739409863308
[000100011],-1.0722860551113662
[000100100],-0.7098273674019211
[000100101],-0.058233826598879546
[000100110],-2.59180746551606
[000100111],-2.8060479907432305
[000101000],-3.960574214327766
[000101001],-4.195099610053225
[000101010],-1.7605454598182626
[000101011],-1.0605243560111584
[000101100],-0.7231111369662968
[000101101],-0.9253089236457535
[000101110],-1.0536241172485759
[000101111],-0.842423949894394
[000110000],-1.0439872484482264
[000110001],0.28735224981930085
[000110010],-0.5660597638265261
[000110011],-0.7630535820825846
[000110100],-0.8782450720111492
[000110101],-0.16097686070928163
[000110110],-2.5933675017904485
[000110111],-4.1433075029581445
[000111000],-3.5830421407284283
[000111001],-4.323363332657667
[000111010],-2.165713147910995
[000111011],-0.970266361707115
[000111100],-0.7769801087712591
[000111101],-1.0446682117520094
[000111110],-1.370163012517013
[000111111],-1.292267058585968
[001000000],3.0293022120596227
[001000001],4.212863357868518
[001000010],3.670705140700514
[001000011],2.0009161385818355
[001000100],2.2034904492128997
[001000101],3.278363477787417
[001000110],1.7434436148468593
[001000111],1.0637131346423343
[001001000],-0.8290150025367904
[001001001],-2.0341360832951794
[001001010],1.1295764582969312
[001001011],3.1450829604201354
[001001100],2.1895483519359873
[001001101],3.347952675221383
[001001110],1.760365215715173
[001001111],3.1266629569220425
[001010000],2.613270721555028
[001010001],3.551440599573552
[001010010],3.567596869850826
[001010011],2.058170297845123
[001010100],2.3352383952878024
[001010101],3.5080933668386822
[001010110],1.1141025907671858
[001010111],0.23309014531247252
[001011000],-1.2746808118886461
[001011001],-1.9327225303810822
[001011010],1.116982234485108
[001011011],3.099641565971793
[001011100],2.7125209398390657
[001011101],3.9873317240872654
[001011110],0.16364628955791605
[001011111],1.9449790559136528
[001100000],-0.32496127021404453
[001100001],-0.5260648615376367
[001100010],-1.0150750478189674
[001100011],-2.609479998442915
[001100100],-1.86409783414569
[001100101],-0.8326854460756357
[001100110],-3.8349947579875443
[001100111],-4.55184522207456
[001101000],nan
[001101001],nan
[001101010],-3.948786781474914
[001101011],-1.4714504607672323
[001101100],-2.922219939399174
[001101101],-0.9290994553143253
[001101110],-4.271372466407319
[001101111],-2.1234248951147148
[001110000],-3.7796275554601944
[001110001],nan
[001110010],nan
[001110011],nan
[001110100],nan
[001110101],-4.537938464065499
[001110110],nan
[001110111],nan
[001111000],nan
[001111001],nan
[001111010],nan
[001111011],nan
[001111100],-4.255588761964953
[001111101],nan
[001111110],nan
[001111111],nan
[010000000],3.069739814090528
[010000001],4.1601848131651735
[010000010],3.9096786449217293
[010000011],2.3810043221773576
[010000100],2.1679656542684107
[010000101],3.3970948046754774
[010000110],1.7582496808450478
[010000111],0.8887734796515148
[010001000],0.050348057644200805
[010001001],-1.1994132963576227
[010001010],1.383079300359263
[010001011],3.3523677200959296
[010001100],2.3823214706659033
[010001101],3.517923948991738
[010001110],1.395129123646827
[010001111],3.091505189145354
[010010000],2.535452027742654
[010010001],3.5777109679502495
[010010010],3.4079765591187767
[010010011],1.8826124595021299
[010010100],2.0997075127891236
[010010101],2.469609238389294
[010010110],1.0644363223932087
[010010111],0.23195775746905767
[010011000],-1.375615743302086
[010011001],-1.2357970577596338
[010011010],1.0814549843469061
[010011011],2.944576866054101
[010011100],2.7557145573609185
[010011101],3.9123747468958134
[010011110],0.3743776171779214
[010011111],2.088900959638906
[010100000],-0.5466890462394374
[010100001],-0.7851241400280595
[010100010],-1.4528659203339087
[010100011],-2.9627656854452664
[010100100],-2.537432220766592
[010100101],-1.4528357855355072
[010100110],-2.240800458651347
[010100111],-4.677699210240508
[010101000],-4.1284898635533995
[010101001],nan
[010101010],-3.1637488607228357
[010101011],-2.5540154295768835
[010101100],-2.7968752020690384
[010101101],-1.3680482729723242
[010101110],-4.51365501748705
[010101111],-3.1735305369155937
[010110000],-4.069943716854695
[010110001],-3.4402682104657907
[010110010],nan
[010110011],nan
[010110100],nan
[010110101],-4.517734072302458
[010110110],nan
[010110111],nan
[010111000],nan
[010111001],nan
[010111010],nan
[010111011],-4.852761453960483
[010111100],nan
[010111101],-4.492948810838618
[010111110],nan
[010111111],nan
[011000000],3.1042957579445463
[011000001],4.189597506744206
[011000010],3.835626358349516
[011000011],2.417418741364854
[011000100],2.1395925709310895
[011000101],3.2031784929971288
[011000110],1.757805769054913
[011000111],1.051492613994226
[011001000],1.0112457461569329
[011001001],-0.7324734749209711
[011001010],1.3579987225036334
[011001011],3.312752703859935
[011001100],2.3311371656374202
[011001101],3.4578225978272874
[011001110],1.43700293604833
[011001111],3.13834723982268
[011010000],2.6353883762559
[011010001],3.7381072126297976
[011010010],3.719419096334062
[011010011],2.2510427685135674
[011010100],2.1231461796500484
[011010101],3.5185286351638014
[011010110],1.1884586922317704
[011010111],0.35014877710511594
[011011000],-0.9205157234041113
[011011001],-1.2422670749875242
[011011010],1.2358964324573631
[011011011],3.328186116276396
[011011100],3.0561239618291527
[011011101],3.9637657391411505
[011011110],0.5347726052790003
[011011111],2.1778913929450945
[011100000],-0.4523249276704471
[011100001],-0.537069152226584
[011100010],-0.8952158183844614
[011100011],-3.051350176906555
[011100100],-3.024608627698749
[011100101],-1.4581062825568378
[011100110],-2.874305103102792
[011100111],-4.684636977223423
[011101000],-4.37305551515413
[011101001],nan
[011101010],nan
[011101011],-1.915943224135007
[011101100],-3.2834840464612483
[011101101],-1.290221596345126
[011101110],nan
[011101111],-2.8571931031977367
[011110000],-3.6249116968694914
[011110001],-4.354025413988584
[011110010],nan
[011110011],nan
[011110100],nan
[011110101],nan
[011110110],nan
[011110111],nan
[011111000],nan
[011111001],nan
[011111010],nan
[011111011],nan
[011111100],nan
[011111101],-4.450203995012762
[011111110],nan
[011111111],nan
[100000000],-0.011813443545156899
[100000001],0.92591811885477
[100000010],0.20829959119960084
[100000011],-1.1990666699741723
[100000100],-0.5359225909606438
[100000101],0.12121084676147542
[100000110],-1.029611135904708
[100000111],-2.762257275601088
[100001000],-3.8231411912238396
[100001001],-4.586745659691378
[100001010],-2.249750055047055
[100001011],-0.09746761244276403
[100001100],-1.651596146711546
[100001101],0.43673519799891625
[100001110],-2.8141532325842324
[100001111],-0.4771506781207884
[100010000],-0.45314727623656337
[100010001],0.4893069136093082
[100010010],-0.6272695056884463
[100010011],-1.2829591117002268
[100010100],-1.211595936581071
[100010101],-0.4085667493889229
[100010110],-1.7487807439713885
[100010111],-3.7341035019611977
[100011000],nan
[100011001],-4.172662360680617
[100011010],-1.2061585979248801
[100011011],-0.824705394954119
[100011100],-1.7899455581827417
[100011101],0.08096180472643222
[100011110],-2.1672036779211794
[100011111],-0.8521212912682326
[100100000],-1.353087026946295
[100100001],-0.2397825407973695
[100100010],-0.9916459602332868
[100100011],-1.5691447160254124
[100100100],-1.583305326657729
[100100101],-1.2392304274460075
[100100110],-3.1256215407695396
[100100111],-3.3726178707587917
[100101000],nan
[100101001],nan
[100101010],-1.188837428430117
[100101011],-2.9694220085638094
[100101100],-2.1969949344071287
[100101101],-1.0694559127868364
[100101110],-2.495594450980446
[100101111],-1.7309563446756169
[100110000],-0.8199601665479412
[100110001],0.5157166166632583
[100110010],-0.9672151271300513
[100110011],-1.3995876279022097
[100110100],-1.4281475721948795
[100110101],-0.2774733861625158
[100110110],-2.6011233586335885
[100110111],nan
[100111000],-4.255588761964953
[100111001],-4.252921557840775
[100111010],-0.8871945523869176
[100111011],-1.656634880161031
[100111100],-1.9872337212640874
[100111101],-0.24438265977107054
[100111110],-2.31657972559061
