genotype,s_r_merged
[000000000],0.0
[000000001],-4.439311703732792
[000000010],-2.1443855644776977
[000000011],-5.793020000096345
[000000100],-0.7977974706298956
[000000101],-3.9371877319377497
[000000110],-1.2194402075421467
[000000111],-7.534724831366165
[000001000],-4.348287424362783
[000001001],-7.927211463902185
[000001010],-3.3455205107335235
[000001011],-6.282787452319607
[000001100],-2.8005145858647382
[000001101],-5.8823850877420165
[000001110],-3.114041303077773
[000001111],-7.3550050380834096
[000010000],-0.2454242293070575
[000010001],-5.64132319513038
[000010010],-0.8196784928052357
[000010011],-6.309025231500761
[000010100],-1.1631267266460614
[000010101],-5.336227471925471
[000010110],-1.905682845964498
[000010111],-8.632818578276538
[000011000],-4.155261473363014
[000011001],-7.755725038507656
[000011010],-3.1859799681252503
[000011011],-4.499655477129041
[000011100],-1.2394646055281096
[000011101],-3.678987637000527
[000011110],-1.4784068604973122
[000011111],-7.297281485166323
[000100000],-0.2228375862652808
[000100001],-6.384476176617998
[000100010],-1.3451211214144634
[000100011],-6.711684053171738
[000100100],-1.0485071142902318
[000100101],-6.455536395091275
[000100110],-2.955407967680806
[000100111],-7.8797239173460385
[000101000],-3.7877147393433375
[000101001],-8.058717725318333
[000101010],-1.7181135180130411
[000101011],-5.767070294485794
[000101100],-0.9504621008501634
[000101101],-5.309425365714797
[000101110],-1.235439780153571
[000101111],-7.634352150721182
[000110000],0.005421466182115549
[000110001],-6.312941640403825
[000110010],-0.8789718691633978
[000110011],-6.6482413944493
[000110100],-1.2479083660190067
[000110101],-6.35089451258197
[000110110],-3.366323015879821
[000110111],-8.411183319456605
[000111000],-4.000757442536506
[000111001],-7.714113554843688
[000111010],-2.090890573255395
[000111011],-6.201287560139683
[000111100],-0.973316061974605
[000111101],-5.446075688367865
[000111110],-1.474234964654593
[000111111],-7.702064950109899
[001000000],-2.5726635507914555
[001000001],-6.1142291070240375
[001000010],-5.516439224258357
[001000011],-8.77159396602225
[001000100],-4.214183299470924
[001000101],-7.408288797500272
[001000110],-3.274759294505371
[001000111],-8.018950391368715
[001001000],-6.50753357787401
[001001001],-7.7015354642992335
[001001010],-6.19464073669396
[001001011],-7.649476867078284
[001001100],-6.279727494719783
[001001101],-6.679991690062656
[001001110],-5.748427198757436
[001001111],-7.261133964880287
[001010000],-2.4544420501941766
[001010001],-6.051999282206243
[001010010],-5.4104675931379775
[001010011],-7.320030756304326
[001010100],-4.347926161734095
[001010101],-7.3501238134087785
[001010110],-3.2006246139156893
[001010111],-7.6182399963257295
[001011000],-5.8950469453445775
[001011001],-7.025342219116649
[001011010],-6.0763817791157395
[001011011],-7.655721851472713
[001011100],-5.991891178325203
[001011101],-6.967204138680823
[001011110],-5.7006785662835755
[001011111],-7.533041903560435
[001100000],-2.2808207611058293
[001100001],-7.173744329192691
[001100010],-5.431111494634521
[001100011],-8.004082251289503
[001100100],-3.57154737599353
[001100101],-8.011478962647605
[001100110],-3.776958808960458
[001100111],-7.185343213566129
[001101000],-7.280364189771778
[001101001],-7.342952842656523
[001101010],-6.275918542582024
[001101011],-8.203050954300739
[001101100],-5.826839264859185
[001101101],-7.472262007421898
[001101110],-6.238639138360953
[001101111],-7.647606619746016
[001110000],-3.5907507912198717
[001110001],-7.811541777551845
[001110010],-7.215782630914146
[001110011],-7.182369030821668
[001110100],-6.93515028366107
[001110101],-7.779578352658176
[001110110],-5.764624714594401
[001110111],-7.071073419094489
[001111000],-6.454796354939526
[001111001],-7.884098141932318
[001111010],-7.091102097178566
[001111011],-7.459705669126714
[001111100],-7.1878102476272625
[001111101],-6.796791497432686
[001111110],-6.929054301918508
[001111111],-7.389875622628757
[010000000],-2.582820585069689
[010000001],-6.064447299138609
[010000010],-5.4643699427333345
[010000011],-8.166370934192297
[010000100],-4.117711229880231
[010000101],-7.204070790005082
[010000110],-3.218133029506841
[010000111],-8.085204145318407
[010001000],-5.9045676090060715
[010001001],-8.125296571144704
[010001010],-5.793866202089075
[010001011],-7.948608377979742
[010001100],-5.665663024494722
[010001101],-6.7503692623737
[010001110],-5.907339847968392
[010001111],-7.2780326919745875
[010010000],-2.431407582919506
[010010001],-5.948390827111955
[010010010],-5.7664712068328114
[010010011],-8.07788375444933
[010010100],-4.33782997243518
[010010101],-6.710287905468301
[010010110],-3.2056938001708564
[010010111],-8.042828890188357
[010011000],-6.657330093004681
[010011001],-7.872280318495469
[010011010],-6.22021741884582
[010011011],-7.993188966655545
[010011100],-5.912928030885698
[010011101],-6.857107942969904
[010011110],-5.81677751445174
[010011111],-7.3950420202547775
[010100000],-2.3582489759220446
[010100001],-7.508362935968724
[010100010],-5.662050479976775
[010100011],-7.503411782144098
[010100100],-3.528517595678148
[010100101],-8.02061733921692
[010100110],-3.578578892664114
[010100111],-8.468645243167241
[010101000],-6.241132931418536
[010101001],-7.536827124367525
[010101010],-5.916523935614151
[010101011],-7.919845423308881
[010101100],-6.000756072837764
[010101101],-8.254160476441236
[010101110],-6.12076333949902
[010101111],-7.571028710787498
[010110000],-3.410898617775628
[010110001],-7.842640951565734
[010110010],-6.844857691229826
[010110011],-8.181047711253463
[010110100],-6.583961484278045
[010110101],-8.337950182612335
[010110110],-5.879966913714465
[010110111],-8.26877878640422
[010111000],-7.221960132271777
[010111001],-6.567486095192148
[010111010],-6.5315626643339915
[010111011],-7.890737386408358
[010111100],-6.64702947866039
[010111101],-6.645186853948106
[010111110],-7.456795109028891
[010111111],-8.094960894058394
[011000000],-2.6076693289601844
[011000001],-6.069579680891155
[011000010],-5.736249408615155
[011000011],-7.710891559964679
[011000100],-4.092455327506268
[011000101],-6.704007268072943
[011000110],-3.2552891576082246
[011000111],-7.752299772117355
[011001000],-6.130528956910244
[011001001],-7.9624092630749
[011001010],-6.199229673151659
[011001011],-8.122248248465603
[011001100],-6.078957374648219
[011001101],-6.976816796583918
[011001110],-5.420080537108454
[011001111],-7.5504279421951095
[011010000],-2.3700481722833033
[011010001],-6.020506221260803
[011010010],-5.650418382775065
[011010011],-7.994269954936408
[011010100],-3.8076174701164587
[011010101],-7.040954798727152
[011010110],-3.207728897716313
[011010111],-7.848204599589244
[011011000],-6.879154784210987
[011011001],-6.281142156875937
[011011010],-6.217899675646573
[011011011],-8.91158682693481
[011011100],-5.905717226607552
[011011101],-6.879851618668806
[011011110],-6.02129142813335
[011011111],-7.643849901098572
[011100000],-2.332600034201455
[011100001],-7.224301101213761
[011100010],-5.37104604646463
[011100011],-7.741135574311779
[011100100],-3.379705606991878
[011100101],-7.727696866970449
[011100110],-3.784352027330877
[011100111],-8.446312932767011
[011101000],-7.306232188767873
[011101001],-6.8321119725093755
[011101010],-6.222995609447227
[011101011],-7.962160368519715
[011101100],-6.499975079685847
[011101101],-8.122287716915297
[011101110],-6.272890705978466
[011101111],-7.768082318433387
[011110000],-3.632485733496727
[011110001],-8.117385972139456
[011110010],-7.579397314326943
[011110011],-7.667569639228265
[011110100],-6.679867045051188
[011110101],nan
[011110110],-6.132092497440778
[011110111],-7.278804013781655
[011111000],-7.469109697392358
[011111001],-7.193888140078493
[011111010],-7.365797844823745
[011111011],-7.222677665269195
[011111100],-7.438216707003659
[011111101],-8.211879950556352
[011111110],-7.480669866027424
[011111111],-7.553203427189746
[100000000],1.273117032851528
[100000001],-6.238901738639197
[100000010],-0.8307000362879053
[100000011],-3.5278631082864425
[100000100],-2.07672272056371
[100000101],-4.002832525463412
[100000110],-3.924312303096555
[100000111],-7.725655053207335
[100001000],-6.1868617665394545
[100001001],-8.320836140459104
[100001010],-3.4081334160749877
[100001011],-6.342880055505382
[100001100],-3.029082918714671
[100001101],-6.889662413785291
[100001110],-3.9459017612372413
[100001111],-7.954826319621882
[100010000],1.1168436038156497
[100010001],-6.352866111003505
[100010010],-0.8800796726345436
[100010011],-3.879356018116617
[100010100],-2.304614088937743
[100010101],-4.837421141400739
[100010110],-3.835721609491092
[100010111],-7.50332666314017
[100011000],-6.171658088043614
[100011001],-7.557211883408463
[100011010],-1.3589234704668662
[100011011],-3.7829529927407157
[100011100],-3.06999698771151
[100011101],-6.495821383997705
[100011110],-3.5927795911913787
[100011111],-7.186274513081471
[100100000],0.5472171825268712
[100100001],-7.088859789766673
[100100010],-1.2946747336180584
[100100011],-6.9806290932433015
[100100100],-2.3705357432102523
[100100101],-6.463177316862155
[100100110],-4.43287680830112
[100100111],-8.582909065028463
[100101000],-5.647355380261387
[100101001],-7.59225417068485
[100101010],-1.230835360730997
[100101011],-3.82115033151577
[100101100],-2.967070945868471
[100101101],-7.337050750102882
[100101110],-3.907611332465597
[100101111],-8.617068548144527
[100110000],1.2950906603543741
[100110001],-6.087194147331343
[100110010],-1.2025877937613367
[100110011],-6.64872377251947
[100110100],-2.459473645971132
[100110101],-6.46455103142224
[100110110],-3.780339432384819
[100110111],-8.185339954703913
[100111000],-5.073039304496532
