genotype,s_r_merged
[000000000],0.0
[000000001],-0.8906987850852617
[000000010],-1.2371045188762955
[000000011],-2.1552392308534554
[000000100],0.13225408233869726
[000000101],-1.709432809509904
[000000110],-0.25895724162344885
[000000111],-1.079634511177016
[000001000],-3.954543218096551
[000001001],-5.519927884899174
[000001010],-0.2207456829316524
[000001011],0.8671460417503393
[000001100],-1.4860287564178567
[000001101],-1.4965145511812228
[000001110],-1.9277484239446459
[000001111],-2.3327162626676032
[000010000],-0.304226446926322
[000010001],-0.9191450327253708
[000010010],0.03291041611439177
[000010011],-0.8836387115271852
[000010100],-0.07198232492919925
[000010101],-0.9064829450196904
[000010110],-1.0446086949232052
[000010111],-1.864438310082661
[000011000],-3.9971418029977497
[000011001],-5.559931033765145
[000011010],-0.8218593707465068
[000011011],-0.43131694409787374
[000011100],-0.5227482077656795
[000011101],-1.574807069183333
[000011110],-0.8079832035113613
[000011111],-1.6006623271842069
[000100000],-0.42804911483597063
[000100001],-0.26772359634728454
[000100010],-0.4878378475381295
[000100011],-1.090877045031726
[000100100],-0.10770387541100866
[000100101],-0.12714031492608055
[000100110],-1.7493609165111383
[000100111],-2.985204454609134
[000101000],-3.786978811081888
[000101001],-5.619310103904799
[000101010],-1.0265471008398295
[000101011],0.3335045992485883
[000101100],-0.1694867251543605
[000101101],-1.492252928021994
[000101110],-0.6291709930763509
[000101111],-1.006275177237272
[000110000],-0.5483640067600485
[000110001],-0.3209768488565516
[000110010],-0.22080759431482377
[000110011],-0.875974035358669
[000110100],-0.23762997481875062
[000110101],-0.24174136774277924
[000110110],-1.6712182642436597
[000110111],-3.348292745662958
[000111000],-4.259146675215878
[000111001],-5.756057269702673
[000111010],-1.1346158410777696
[000111011],0.5171901328210377
[000111100],-0.20795834676698488
[000111101],-1.7271772042792046
[000111110],-0.9271340920688504
[000111111],-1.4419363575575341
[001000000],0.7278415272095945
[001000001],0.7461784604164962
[001000010],0.6868576427786
[001000011],-1.149319707086809
[001000100],0.7385086803096671
[001000101],0.26081225156247884
[001000110],-0.4980500186603704
[001000111],-1.9679849817962973
[001001000],-3.8153683616635
[001001001],-5.066718261401099
[001001010],1.0090066468320051
[001001011],2.201995043141447
[001001100],0.32718091117188125
[001001101],-0.22423007838602482
[001001110],-0.3638303499137407
[001001111],-0.42016656172488337
[001010000],0.36172417942112767
[001010001],0.1632131695999448
[001010010],0.10065090900925493
[001010011],-1.820923344744144
[001010100],0.22033109376419377
[001010101],-0.1475669883479557
[001010110],-1.0872161586881814
[001010111],-2.558347101142228
[001011000],-4.813967740670512
[001011001],-6.130301021162029
[001011010],0.043748629588022385
[001011011],0.9763675447106109
[001011100],0.2829568651507803
[001011101],0.37334697959043134
[001011110],-1.3608407767730635
[001011111],-1.8481761471079015
[001100000],-1.276522143028944
[001100001],-2.240776914371745
[001100010],-2.7800767395934223
[001100011],-4.859591065134237
[001100100],-2.614902315125724
[001100101],-2.7641484011446633
[001100110],-3.7261546617910404
[001100111],-6.12584890851376
[001101000],-6.255119631909487
[001101001],-6.316720629750678
[001101010],-2.762077030299423
[001101011],-1.806135888744832
[001101100],-3.052779207997885
[001101101],-3.67205965206443
[001101110],-3.884205146388682
[001101111],-4.861451822863278
[001110000],-4.262641107544092
[001110001],-5.975752925108105
[001110010],-6.164960478222756
[001110011],-7.414776664879974
[001110100],-5.453326586412795
[001110101],-6.576682530055095
[001110110],-6.32799187238866
[001110111],nan
[001111000],nan
[001111001],nan
[001111010],-6.543737735583122
[001111011],-6.318138753302431
[001111100],-6.0540168055352925
[001111101],nan
[001111110],-6.36492020938596
[001111111],nan
[010000000],0.6647296714415399
[010000001],0.726914798411649
[010000010],0.35644902084471736
[010000011],-1.5079079950195606
[010000100],0.240095340238518
[010000101],-0.2131504253115811
[010000110],-0.7526666564564346
[010000111],-2.3010635254151315
[010001000],-3.867988290151571
[010001001],-5.353210781016426
[010001010],0.3746612286185222
[010001011],1.3638336925264436
[010001100],0.07781522128331549
[010001101],-0.28106794903963866
[010001110],-0.7866702186037475
[010001111],-0.49441076448561655
[010010000],0.374314508694975
[010010001],0.20077432788077818
[010010010],0.14800839131957652
[010010011],-1.7888807900166108
[010010100],0.28225195663399827
[010010101],-0.5768738613370454
[010010110],-1.0657991815344299
[010010111],-2.5383084945456535
[010011000],-4.446105674517408
[010011001],-5.400573841748812
[010011010],0.1221931561322556
[010011011],1.0083529446621362
[010011100],0.4180907827965907
[010011101],0.3630446141133988
[010011110],-1.1199172876980816
[010011111],-1.7347747452346696
[010100000],-1.41775929326532
[010100001],-2.47942408965441
[010100010],-3.0056955208545766
[010100011],-5.015815674968294
[010100100],-2.943625943100001
[010100101],-3.2894096536631765
[010100110],-3.7672133987305787
[010100111],-5.639548467707896
[010101000],-6.187688634843436
[010101001],-7.449860338540218
[010101010],-2.9199352598114285
[010101011],-2.0708042640724367
[010101100],-3.4124222709744885
[010101101],-3.8921713639842914
[010101110],-4.789267576326975
[010101111],-5.604866832134271
[010110000],-4.403359945148295
[010110001],-5.903507097780881
[010110010],-5.483838178612052
[010110011],-6.708701128384904
[010110100],-5.428498472833407
[010110101],-6.732708075600647
[010110110],-6.437905110790318
[010110111],-7.124831957755921
[010111000],-6.19828082363876
[010111001],-6.324943773486458
[010111010],-5.8693871709844805
[010111011],-6.257626365043637
[010111100],-5.841911069857677
[010111101],-7.069045294451801
[010111110],-5.850518045474535
[010111111],-7.721796137185766
[011000000],0.5540565822617134
[011000001],0.6729951797862254
